Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 Join room, {"deviceId":"684b55eff20ab3001efa6071","agentId":"6708d877f86545dd1d64ae0f"}, 2.935047 

 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8718167092","betType":"single","playerId":"2","roundId":"17500013007139031","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:28:52.171Z","id":"684ee6b416a9560010db7121"}}, 72.50066 
 PlaceBet, Response Time: 0.2333298, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6255953794","betType":"single","playerId":"3","roundId":"17500013007139031","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:28:54.038Z","id":"684ee6b6d76f9100122cf0f5"}}, 74.36732 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6322289166","betType":"single","playerId":"1","roundId":"17500013007139031","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:28:54.939Z","id":"684ee6b6fde0f20017845995"}}, 75.26731 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":6476.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 80.18389 

 PlaceBet, Response Time: 0.2333298, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2253329324","betType":"single","playerId":"5","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:12.202Z","id":"684ee6c828309b001a6cd7af"}}, 92.53372 
 PlaceBet, Response Time: 0.2333298, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9114797477","betType":"single","playerId":"3","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:12.331Z","id":"684ee6c8268dc7000e12c41e"}}, 92.66705 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1331974358","betType":"single","playerId":"6","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:12.569Z","id":"684ee6c838910f00136b3d3e"}}, 92.90038 
 PlaceBet, Response Time: 0.2166824, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2957499346","betType":"single","playerId":"8","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:13.935Z","id":"684ee6c9af71fd001179470d"}}, 94.26704 
 PlaceBet, Response Time: 0.2166824, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4730030451","betType":"single","playerId":"2","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:14.166Z","id":"684ee6ca4c829a001ff295d0"}}, 94.50037 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2971856289","betType":"single","playerId":"4","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:14.671Z","id":"684ee6ca100b70001101353f"}}, 95.00035 
 PlaceBet, Response Time: 0.3166733, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8617527701","betType":"single","playerId":"1","roundId":"17500013157543909","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:14.900Z","id":"684ee6ca19843f0013428d92"}}, 95.30035 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 96.08365 
 PlaceBet Status Not OK, response: {"status":"error"}, 96.08365 

 PlaceBet, Response Time: 0.2166672, Response: {"status":"error"}, 104.8502 
 PlaceBet Status Not OK, response: {"status":"error"}, 104.8502 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5507475945","betType":"single","playerId":"8","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:24.744Z","id":"684ee6d4a0c4ad000f0ba8a1"}}, 105.0668 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4210850963","betType":"single","playerId":"2","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:24.993Z","id":"684ee6d47c5f130011ffce67"}}, 105.3169 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2998924609","betType":"single","playerId":"3","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:25.582Z","id":"684ee6d5f88c19000e0e4baa"}}, 105.9002 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7847540849","betType":"single","playerId":"6","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:26.004Z","id":"684ee6d618b5c0001584659b"}}, 106.3335 
 PlaceBet, Response Time: 0.2166519, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9840497026","betType":"single","playerId":"4","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:26.299Z","id":"684ee6d665328c00105ed9cd"}}, 106.6335 
 PlaceBet, Response Time: 0.233345, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4397008347","betType":"single","playerId":"1","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:26.443Z","id":"684ee6d666a47400136afa64"}}, 106.7668 
 PlaceBet, Response Time: 0.2000046, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5113119697","betType":"single","playerId":"5","roundId":"1750001330787426","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:27.320Z","id":"684ee6d7adbafe000e0e98ac"}}, 107.6502 
 Cashout, Response Time: 0.2000046, Response: {"status":"ok","data":{"wallet":91745.00308431621,"playLevel":2000,"bonus":4950,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":3,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:12.323Z","id":"684b565c7295ed0011e61527"}}, 115.5667 
 Cashout, Response Time: 0.1999969, Response: {"status":"ok","data":{"wallet":6604.136878601021,"playLevel":200,"bonus":0,"freebet":true,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 117.4667 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":8386,"playLevel":200,"bonus":385,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":8,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-14T18:59:47.269Z","id":"684dc6a3d4760e0022946e80"}}, 127.2666 
 Cashout, Response Time: 0.2499847, Response: {"status":"ok","data":{"wallet":5594.781004123691,"playLevel":200,"bonus":220,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":6,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T23:30:27.989Z","id":"684b631395d4370025954bb2"}}, 127.7999 
 Cashout, Response Time: 0.2000122, Response: {"status":"ok","data":{"wallet":11447,"playLevel":100,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":1,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.225Z","id":"684b565bb84283001eb2f601"}}, 132.6998 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":15312.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 134.3331 

 Cashout, Response Time: 0.2166901, Response: {"status":"ok","data":{"wallet":14244,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 134.9331 
 PlaceBet, Response Time: 0.2166595, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2252426632","betType":"single","playerId":"3","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:59.190Z","id":"684ee6f7e1c395000ef8ec23"}}, 139.5163 
 PlaceBet, Response Time: 0.3166656, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7020188446","betType":"single","playerId":"6","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:29:59.312Z","id":"684ee6f7cce107001341dfb9"}}, 139.633 
 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 139.683 
 PlaceBet Status Not OK, response: {"status":"error"}, 139.683 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5768829465","betType":"single","playerId":"1","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:01.221Z","id":"684ee6f9c58c2600233f8569"}}, 141.5497 
 PlaceBet, Response Time: 0.2666779, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5754360677","betType":"single","playerId":"8","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:01.421Z","id":"684ee6f9651ff100116f0b54"}}, 141.7497 
 PlaceBet, Response Time: 0.2833405, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1790939858","betType":"single","playerId":"2","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:01.529Z","id":"684ee6f9e2aef600153cde7d"}}, 141.8497 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7197921679","betType":"single","playerId":"4","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:01.621Z","id":"684ee6f943845d001da68168"}}, 141.9496 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1730535378","betType":"single","playerId":"5","roundId":"17500013510309431","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:02.261Z","id":"684ee6fa6a710f00120cbcca"}}, 142.583 
 Cashout, Response Time: 0.1999969, Response: {"status":"ok","data":{"wallet":15418.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 147.7662 

 drop-jackpot, {"playerId":5,"jackpotAmount":1000,"jackpotType":"Gold"}, 152.7328 
 DropJackpot Successfull, Jackpot sent to Player: 5, 152.7328 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9256597073","betType":"single","playerId":"3","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:17.444Z","id":"684ee7097f2cc7000fc19a0f"}}, 157.7661 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5532005104","betType":"single","playerId":"6","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:18.025Z","id":"684ee70a63f2f6000fa99987"}}, 158.3494 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 158.6327 
 PlaceBet Status Not OK, response: {"status":"error"}, 158.6327 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6002506086","betType":"single","playerId":"5","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:18.367Z","id":"684ee70a99ab71001427983f"}}, 158.6827 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3972877674","betType":"single","playerId":"2","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:18.360Z","id":"684ee70aa445b30010711ff8"}}, 158.6827 
 PlaceBet, Response Time: 0.6166534, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3434650329","betType":"single","playerId":"1","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:18.539Z","id":"684ee70aa445b30010712010"}}, 159.1494 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8287570140","betType":"single","playerId":"4","roundId":"175000136305542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:19.058Z","id":"684ee70bcbd1e400107d0049"}}, 159.3827 
 Cashout, Response Time: 0.2166901, Response: {"status":"ok","data":{"wallet":5506.781004123691,"playLevel":200,"bonus":220,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":6,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T23:30:27.989Z","id":"684b631395d4370025954bb2"}}, 165.1326 

 PlaceBet, Response Time: 0.2666473, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3686641937","betType":"single","playerId":"4","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:29.540Z","id":"684ee7153095f500148080be"}}, 169.8826 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5601477773","betType":"single","playerId":"6","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:29.843Z","id":"684ee7157e78fd00252044f8"}}, 170.1659 
 PlaceBet, Response Time: 0.2333221, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2613554929","betType":"single","playerId":"8","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:30.003Z","id":"684ee716094703001100e9c7"}}, 170.3326 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9560008205","betType":"single","playerId":"5","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:30.341Z","id":"684ee7164e0b8a0028340114"}}, 170.6659 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 172.4992 
 PlaceBet Status Not OK, response: {"status":"error"}, 172.4992 
 PlaceBet, Response Time: 0.5166321, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3263488156","betType":"single","playerId":"2","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:32.422Z","id":"684ee7189fd0ea0010c55ac5"}}, 173.0492 
 PlaceBet, Response Time: 0.4499664, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5515536346","betType":"single","playerId":"1","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:32.598Z","id":"684ee7182610d8001c248177"}}, 173.0492 
 PlaceBet, Response Time: 0.2833099, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3972236033","betType":"single","playerId":"3","roundId":"17500013977369757","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:32.758Z","id":"684ee7188623d70014707a0f"}}, 173.0825 
 Cashout, Response Time: 0.2166595, Response: {"status":"ok","data":{"wallet":15288.345833972984,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 177.4658 

 drop-jackpot, {"playerId":5,"jackpotAmount":1000,"jackpotType":"Silver"}, 180.3657 
 DropJackpot Successfull, Jackpot sent to Player: 5, 180.3657 
 drop-jackpot, {"playerId":2,"jackpotAmount":1000,"jackpotType":"Bronze"}, 180.8324 
 DropJackpot Successfull, Jackpot sent to Player: 2, 180.8324 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1431899100","betType":"single","playerId":"2","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:44.321Z","id":"684ee72481f70f001590ae3d"}}, 184.6657 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6502503615","betType":"single","playerId":"4","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:45.139Z","id":"684ee72554d4fc0012c67e4a"}}, 185.4657 
 PlaceBet, Response Time: 0.2166595, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3237073310","betType":"single","playerId":"3","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:45.822Z","id":"684ee725d48fd8000f263e16"}}, 186.149 
 PlaceBet, Response Time: 0.3666534, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4825041960","betType":"single","playerId":"8","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:46.004Z","id":"684ee7264d956100101b67fd"}}, 186.3323 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8637230650","betType":"single","playerId":"5","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:46.556Z","id":"684ee7262610d8001c248192"}}, 186.9156 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5270129885","betType":"single","playerId":"1","roundId":"17500014149546860","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:47.009Z","id":"684ee727e1c395000ef8ec3f"}}, 187.3323 
 PlaceBet, Response Time: 0.1833344, Response: {"status":"error"}, 187.599 
 PlaceBet Status Not OK, response: {"status":"error"}, 187.599 

 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4495633764","betType":"single","playerId":"5","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:53.022Z","id":"684ee72df18a9f000e38324b"}}, 193.3489 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2568400470","betType":"single","playerId":"6","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:53.989Z","id":"684ee72d0cf8930011a58072"}}, 194.3155 
