Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 110.0089 
 PlaceBet Status Not OK, response: {"status":"error"}, 110.0089 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4368411198","betType":"single","playerId":"2","roundId":"17500005740426727","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:05.873Z","id":"684ee3f1194a8e00119832e5"}}, 110.2589 
 PlaceBet, Response Time: 0.2166672, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6697964276","betType":"single","playerId":"4","roundId":"17500005740426727","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:07.910Z","id":"684ee3f3a445b30010711f7d"}}, 112.3089 
 Cashout, Response Time: 0.1999969, Response: {"status":"ok","data":{"wallet":11625.00308431621,"playLevel":2000,"bonus":0,"freebet":true,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":3,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:12.323Z","id":"684b565c7295ed0011e61527"}}, 118.3088 
 Cashout, Response Time: 0.3000031, Response: {"status":"ok","data":{"wallet":2548.445833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 122.1421 

 PlaceBet, Response Time: 0.2666473, Response: {"status":"error"}, 128.042 
 PlaceBet Status Not OK, response: {"status":"error"}, 128.042 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7483203825","betType":"single","playerId":"4","roundId":"17500005900487554","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:24.187Z","id":"684ee40466a47400136afa06"}}, 128.5753 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6537275667","betType":"single","playerId":"3","roundId":"17500005900487554","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:25.047Z","id":"684ee4057e78fd00252044c0"}}, 129.442 
 PlaceBet, Response Time: 0.3499756, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1707992393","betType":"single","playerId":"2","roundId":"17500005900487554","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:25.617Z","id":"684ee405fde0f20017845978"}}, 130.1586 

 PlaceBet, Response Time: 0.3166504, Response: {"status":"error"}, 136.4919 
 PlaceBet Status Not OK, response: {"status":"error"}, 136.4919 
 PlaceBet, Response Time: 0.2999878, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5249797668","betType":"single","playerId":"3","roundId":"17500006238312360","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:32.306Z","id":"684ee40ce1c395000ef8ebea"}}, 136.7419 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4726221703","betType":"single","playerId":"2","roundId":"17500006238312360","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:33.624Z","id":"684ee40d9d17b50014a8cb14"}}, 138.0085 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6144745328","betType":"single","playerId":"4","roundId":"17500006238312360","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:34.951Z","id":"684ee40ecbd1e400107cfff6"}}, 139.3752 

 PlaceBet, Response Time: 0.2499695, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5574212368","betType":"single","playerId":"4","roundId":"17500006414993240","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:45.521Z","id":"684ee41966a47400136afa22"}}, 149.9583 
 PlaceBet, Response Time: 0.4666595, Response: {"status":"error"}, 150.3583 
 PlaceBet Status Not OK, response: {"status":"error"}, 150.3583 
 Cashout, Response Time: 0.2500153, Response: {"status":"ok","data":{"wallet":3088.445833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 168.4914 

 PlaceBet, Response Time: 0.2833405, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9164452276","betType":"single","playerId":"4","roundId":"17500006509343459","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:21.326Z","id":"684ee43d2610d8001c248131"}}, 185.7578 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 186.2245 
 PlaceBet Status Not OK, response: {"status":"error"}, 186.2245 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6528890072","betType":"single","playerId":"3","roundId":"17500006509343459","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:22.200Z","id":"684ee43ef88c19000e0e4af8"}}, 186.5911 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7911215462","betType":"single","playerId":"2","roundId":"17500006509343459","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:23.603Z","id":"684ee43ff18a9f000e38322e"}}, 187.9911 

 PlaceBet, Response Time: 0.2666626, Response: {"status":"error"}, 196.3576 
 PlaceBet Status Not OK, response: {"status":"error"}, 196.3576 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4669371452","betType":"single","playerId":"4","roundId":"1750000663585994","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:32.501Z","id":"684ee448f88c19000e0e4b14"}}, 196.9076 
 PlaceBet, Response Time: 0.2333221, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1345906752","betType":"single","playerId":"3","roundId":"1750000663585994","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:33.095Z","id":"684ee449f88c19000e0e4b2d"}}, 197.4743 
 PlaceBet, Response Time: 0.2166595, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6758482384","betType":"single","playerId":"2","roundId":"1750000663585994","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:33.933Z","id":"684ee4499a25680011fdca9d"}}, 198.3409 

 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1546591711","betType":"single","playerId":"4","roundId":"17500006996991641","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:41.210Z","id":"684ee4519b9f2e001077a440"}}, 205.5908 
 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 206.6075 
 PlaceBet Status Not OK, response: {"status":"error"}, 206.6075 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3201960592","betType":"single","playerId":"3","roundId":"17500006996991641","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:42.482Z","id":"684ee45288a8b9001ecbc09b"}}, 206.8742 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5164838983","betType":"single","playerId":"2","roundId":"17500006996991641","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:44.655Z","id":"684ee454e9cc440010e369a5"}}, 209.0408 

 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3891146957","betType":"single","playerId":"2","roundId":"17500007099315230","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:53.352Z","id":"684ee45dc8b47e0013945ee1"}}, 217.7407 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3999138203","betType":"single","playerId":"3","roundId":"17500007099315230","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:54.302Z","id":"684ee45e2610d8001c24814c"}}, 218.6906 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1242030109","betType":"single","playerId":"4","roundId":"17500007099315230","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:18:54.522Z","id":"684ee45e9d17b50014a8cb34"}}, 218.9073 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"error"}, 219.1073 
 PlaceBet Status Not OK, response: {"status":"error"}, 219.1073 

 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8983052942","betType":"single","playerId":"2","roundId":"17500007199667117","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:03.039Z","id":"684ee467fbf2f900115d7b66"}}, 227.4238 
 PlaceBet, Response Time: 0.2166595, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6906934390","betType":"single","playerId":"4","roundId":"17500007199667117","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:03.467Z","id":"684ee467a7e16c00266e1ab7"}}, 227.8572 
 PlaceBet, Response Time: 0.2666779, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5311689628","betType":"single","playerId":"3","roundId":"17500007199667117","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:03.718Z","id":"684ee467d354ca00209ed708"}}, 228.1572 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"error"}, 229.9072 
 PlaceBet Status Not OK, response: {"status":"error"}, 229.9072 

 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 237.8404 
 PlaceBet Status Not OK, response: {"status":"error"}, 237.8404 
 PlaceBet, Response Time: 0.2499695, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3748605540","betType":"single","playerId":"3","roundId":"17500007320006843","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:15.399Z","id":"684ee4732277eb000fd950c7"}}, 239.8403 
 PlaceBet, Response Time: 0.4166718, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9837475790","betType":"single","playerId":"2","roundId":"17500007320006843","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:15.655Z","id":"684ee47365328c00105ed9b0"}}, 240.0903 

 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7972978101","betType":"single","playerId":"4","roundId":"17500007418327138","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:26.769Z","id":"684ee47e4f7b68000e7cafec"}}, 251.1568 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"error"}, 252.1401 
 PlaceBet Status Not OK, response: {"status":"error"}, 252.1401 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3541639680","betType":"single","playerId":"2","roundId":"17500007418327138","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:28.455Z","id":"684ee4808ebf86000fbf1a86"}}, 252.8401 

 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 261.34 
